,星期,時間,方向,里程,車速,交通量
0,2,1,0,1.7,97,27
1,2,1,0,2.9,93,36
2,2,1,0,6.1,99,42
3,2,1,0,9.9,97,51
4,2,1,0,14.7,97,31
5,2,1,0,15.3,0,0
6,2,1,0,17.4,109,10
7,2,1,0,20.0,97,23
8,2,1,0,20.8,100,41
9,2,1,0,21.3,0,0
10,2,1,0,23.3,90,33
11,2,1,0,25.6,97,58
12,2,1,0,27.1,100,40
13,2,1,0,29.3,97,52
14,2,1,0,33.3,100,23
15,2,1,0,34.0,104,48
16,2,1,0,34.0,97,11
17,2,1,0,37.6,97,75
18,2,1,0,41.3,100,47
19,2,1,0,44.7,97,37
20,2,1,0,44.7,99,10
21,2,1,0,46.7,100,50
22,2,1,0,49.2,104,43
23,2,1,0,51.1,108,47
24,2,1,0,53.2,97,42
25,2,1,0,55.7,100,71
26,2,1,0,55.7,0,6
27,2,1,0,57.9,104,23
28,2,1,0,58.4,97,42
29,2,1,0,60.8,93,5
30,2,1,0,60.8,104,23
31,2,1,0,63.3,97,39
32,2,1,0,63.3,97,9
33,2,1,0,66.4,100,40
34,2,1,0,68.1,104,47
35,2,1,0,69.9,100,44
36,2,1,0,75.0,108,39
37,2,1,0,75.0,111,24
38,2,1,0,88.0,97,42
39,2,1,0,92.8,97,37
40,2,1,0,95.6,100,18
41,2,1,0,97.9,104,17
42,2,1,0,104.5,104,21
43,2,1,0,112.3,104,33
44,2,1,0,129.2,104,27
45,2,1,0,138.9,108,26
46,2,1,0,146.5,108,29
47,2,1,0,157.2,108,30
48,2,1,0,162.1,104,35
49,2,1,0,166.4,108,34
50,2,1,0,169.9,108,48
51,2,1,0,177.4,108,41
52,2,1,0,180.2,113,32
53,2,1,0,183.9,111,40
54,2,1,0,190.6,111,38
55,2,1,0,196.0,111,24
56,2,1,0,201.1,108,27
57,2,1,0,208.9,108,39
58,2,1,0,215.6,106,34
59,2,1,0,224.9,108,30
60,2,1,0,232.2,108,32
61,2,1,0,239.4,104,34
62,2,1,0,242.5,115,25
63,2,1,0,247.2,115,21
64,2,1,0,251.4,111,22
65,2,1,0,260.3,111,26
66,2,1,0,267.4,108,17
67,2,1,0,271.4,104,19
68,2,1,0,282.7,111,17
69,2,1,0,286.6,111,26
70,2,1,0,293.0,108,27
71,2,1,0,301.9,108,24
72,2,1,0,308.3,111,29
73,2,1,0,312.6,108,32
74,2,1,0,318.5,104,29
75,2,1,0,322.7,108,32
76,2,1,0,325.2,104,40
77,2,1,0,328.6,108,35
78,2,1,0,336.6,104,27
79,2,1,0,339.8,113,40
80,2,1,0,346.0,111,41
81,2,1,0,353.5,108,30
82,2,1,0,355.9,108,56
83,2,1,0,359.0,100,58
84,2,1,0,364.0,102,50
85,2,1,0,367.6,93,40
86,2,1,0,369.6,97,47
87,2,1,0,373.6,93,4
88,2,1,1,0.5,93,20
89,2,1,1,1.7,97,19
90,2,1,1,2.9,93,25
91,2,1,1,6.1,97,25
92,2,1,1,9.9,93,15
93,2,1,1,9.9,111,8
94,2,1,1,14.7,0,0
95,2,1,1,15.3,0,0
96,2,1,1,16.3,97,13
97,2,1,1,18.2,97,25
98,2,1,1,20.6,97,29
99,2,1,1,24.8,100,54
100,2,1,1,26.4,97,59
101,2,1,1,29.3,97,60
102,2,1,1,30.5,99,16
103,2,1,1,30.5,100,21
104,2,1,1,33.4,97,13
105,2,1,1,33.9,97,86
106,2,1,1,33.9,97,33
107,2,1,1,37.6,97,54
108,2,1,1,41.3,100,55
109,2,1,1,44.7,100,34
110,2,1,1,46.7,97,47
111,2,1,1,49.2,97,43
112,2,1,1,51.1,93,43
113,2,1,1,53.2,3,5
114,2,1,1,53.2,93,66
115,2,1,1,55.7,93,44
116,2,1,1,57.8,104,27
117,2,1,1,57.8,97,11
118,2,1,1,57.9,100,15
119,2,1,1,57.9,97,27
120,2,1,1,61.0,104,43
121,2,1,1,63.3,97,36
122,2,1,1,66.4,104,36
123,2,1,1,68.1,97,21
124,2,1,1,69.9,108,23
125,2,1,1,75.0,104,43
126,2,1,1,88.0,104,44
127,2,1,1,92.8,104,39
128,2,1,1,95.0,100,50
129,2,1,1,98.0,104,29
130,2,1,1,104.5,100,30
131,2,1,1,112.3,104,36
132,2,1,1,129.2,104,37
133,2,1,1,138.9,104,41
134,2,1,1,146.5,104,33
135,2,1,1,157.2,100,44
136,2,1,1,162.1,108,36
137,2,1,1,166.4,108,45
138,2,1,1,169.9,108,34
139,2,1,1,177.4,111,27
140,2,1,1,180.2,111,37
141,2,1,1,183.9,106,32
142,2,1,1,190.6,111,34
143,2,1,1,196.0,111,32
144,2,1,1,201.1,111,37
145,2,1,1,208.9,108,26
146,2,1,1,215.6,111,31
147,2,1,1,224.9,111,36
148,2,1,1,232.2,111,30
149,2,1,1,239.4,113,26
