,星期,時間,方向,里程,車速,交通量,經度,緯度
0,5,1,0,1.7,93,30,121.72591,25.109568
1,5,1,0,2.9,91,32,121.71786,25.102837
2,5,1,0,6.1,97,46,121.69364,25.088272
3,5,1,0,9.9,97,52,121.659424,25.076044
4,5,1,0,14.7,100,28,121.61352,25.065643
5,5,1,0,15.5,93,63,121.6059,25.064753
6,5,1,0,17.4,108,9,121.58804,25.065544
7,5,1,0,20.0,102,12,121.562515,25.070993
8,5,1,0,20.8,102,32,121.555016,25.072262
9,5,1,0,21.3,93,41,121.55036,25.073053
10,5,1,0,23.3,97,45,121.5307,25.073019
11,5,1,0,25.6,97,72,121.50911,25.078068
12,5,1,0,27.1,100,38,121.49402,25.075256
13,5,1,0,29.3,100,61,121.47296,25.074797
14,5,1,0,33.3,100,38,121.435135,25.068148
15,5,1,0,34.0,100,69,121.428055,25.068
16,5,1,0,37.6,97,76,121.39731,25.058666
17,5,1,0,41.3,100,47,121.36356,25.064968
18,5,1,0,44.7,97,44,121.33207,25.059242
19,5,1,0,46.7,97,38,121.317764,25.047075
20,5,1,0,49.2,100,53,121.29553,25.036482
21,5,1,0,51.1,102,56,121.28173,25.025953
22,5,1,0,53.2,97,50,121.2662,25.012943
23,5,1,0,55.7,100,66,121.24772,24.998583
24,5,1,0,57.9,102,18,121.23298,24.983667
25,5,1,0,58.4,100,42,121.22894,24.980558
26,5,1,0,60.8,100,12,121.21162,24.965878
27,5,1,0,63.3,97,33,121.195595,24.949282
28,5,1,0,66.4,104,40,121.17692,24.929544
29,5,1,0,68.1,104,49,121.16759,24.917967
30,5,1,0,69.9,95,38,121.15976,24.903297
31,5,1,0,75.0,104,49,121.11173,24.893436
32,5,1,0,88.0,100,58,121.01903,24.848719
33,5,1,0,92.8,104,70,121.01031,24.808453
34,5,1,0,95.6,104,46,121.00372,24.783943
35,5,1,0,97.9,100,52,120.99989,24.764414
36,5,1,0,104.5,100,52,120.9519,24.72713
37,5,1,0,112.3,104,47,120.90427,24.679317
38,5,1,0,129.2,104,62,120.83893,24.550442
39,5,1,0,138.9,108,52,120.781906,24.48592
40,5,1,0,146.5,108,45,120.775734,24.420513
41,5,1,0,157.2,108,46,120.72085,24.339148
42,5,1,0,162.1,108,57,120.69733,24.301186
43,5,1,0,166.4,111,42,120.691956,24.262648
44,5,1,0,169.9,108,46,120.68662,24.231537
45,5,1,0,177.4,108,47,120.63561,24.184591
46,5,1,0,180.2,104,29,120.62193,24.163706
47,5,1,0,183.9,108,35,120.61725,24.130768
48,5,1,0,190.6,108,33,120.56813,24.113571
49,5,1,0,196.0,111,43,120.52785,24.085623
50,5,1,0,201.1,111,60,120.52279,24.04064
51,5,1,0,208.9,111,51,120.50612,23.971794
52,5,1,0,215.6,115,37,120.49765,23.91277
53,5,1,0,224.9,111,41,120.48488,23.830568
54,5,1,0,232.2,108,45,120.469345,23.766329
55,5,1,0,239.4,108,53,120.474915,23.702602
56,5,1,0,242.5,111,44,120.46228,23.677376
57,5,1,0,247.2,111,37,120.443115,23.639557
58,5,1,0,251.4,108,32,120.43542,23.60199
59,5,1,0,260.3,111,29,120.40559,23.52674
60,5,1,0,267.4,104,25,120.3777,23.469402
61,5,1,0,271.4,111,28,120.361565,23.436367
62,5,1,0,282.7,115,26,120.32219,23.34747
63,5,1,0,286.6,108,43,120.298706,23.320993
64,5,1,0,293.0,111,29,120.26577,23.272589
65,5,1,0,301.9,111,29,120.23642,23.197287
66,5,1,0,308.3,104,36,120.23327,23.14075
67,5,1,0,312.6,111,33,120.24768,23.104816
68,5,1,0,318.5,108,42,120.25302,23.051311
69,5,1,0,322.7,104,41,120.25,23.014172
70,5,1,0,325.2,14,40,120.24818,22.991814
71,5,1,0,328.6,111,20,120.249825,22.960903
72,5,1,0,336.6,106,28,120.27215,22.892618
73,5,1,0,339.8,115,41,120.28499,22.867418
74,5,1,0,346.0,108,45,120.31273,22.818039
75,5,1,0,355.9,104,48,120.33429,22.730904
76,5,1,0,359.0,100,50,120.32818,22.703363
77,5,1,0,364.0,104,50,120.332085,22.658892
78,5,1,0,367.6,104,38,120.33622,22.62782
79,5,1,0,369.6,100,45,120.33961,22.609428
80,5,1,0,373.6,82,6,120.32315,22.581932
81,5,1,1,0.5,91,26,121.731766,25.118786
82,5,1,1,1.7,93,27,121.72591,25.109568
83,5,1,1,2.9,93,35,121.71786,25.102837
84,5,1,1,6.1,97,37,121.69364,25.088272
85,5,1,1,9.9,117,14,121.65948,25.076263
86,5,1,1,14.7,100,33,121.61352,25.065643
87,5,1,1,15.5,93,25,121.6059,25.064753
88,5,1,1,16.3,100,18,121.59873,25.064007
89,5,1,1,18.2,97,35,121.58023,25.068987
90,5,1,1,20.6,100,37,121.55774,25.07275
91,5,1,1,24.8,104,74,121.5166,25.077631
92,5,1,1,26.4,104,60,121.50139,25.077463
93,5,1,1,29.3,104,59,121.47296,25.074797
94,5,1,1,30.5,104,20,121.46066,25.075554
95,5,1,1,33.4,100,19,121.43328,25.068727
96,5,1,1,33.9,100,104,121.428764,25.06824
97,5,1,1,37.6,97,51,121.39731,25.058666
98,5,1,1,41.3,100,58,121.36356,25.064968
99,5,1,1,44.7,100,23,121.331856,25.060125
100,5,1,1,46.7,100,51,121.317764,25.047075
101,5,1,1,49.2,100,48,121.29553,25.036482
102,5,1,1,51.1,97,49,121.28173,25.025953
103,5,1,1,53.2,97,78,121.2662,25.012943
104,5,1,1,55.7,97,43,121.24772,24.998583
105,5,1,1,57.8,97,31,121.2332,24.984413
106,5,1,1,57.9,100,16,121.23253,24.984095
107,5,1,1,61.0,72,51,121.20987,24.96525
108,5,1,1,63.3,100,30,121.195595,24.949282
109,5,1,1,66.4,104,42,121.17692,24.929544
110,5,1,1,68.1,97,28,121.16759,24.917967
111,5,1,1,69.9,43,45,121.15976,24.903297
112,5,1,1,75.0,104,59,121.11173,24.893436
113,5,1,1,88.0,104,47,121.01903,24.848719
114,5,1,1,92.8,104,42,121.01031,24.808453
115,5,1,1,95.0,100,35,121.00525,24.789621
116,5,1,1,98.0,104,31,120.99886,24.763586
117,5,1,1,104.5,104,29,120.9519,24.72713
118,5,1,1,112.3,104,45,120.90427,24.679317
119,5,1,1,129.2,104,39,120.83893,24.550442
120,5,1,1,138.9,104,49,120.781906,24.48592
121,5,1,1,146.5,104,61,120.775734,24.420513
122,5,1,1,157.2,104,52,120.72085,24.339148
123,5,1,1,162.1,108,44,120.69733,24.301186
124,5,1,1,166.4,108,63,120.691956,24.262648
125,5,1,1,169.9,108,41,120.68662,24.231537
126,5,1,1,177.4,111,38,120.63561,24.184591
127,5,1,1,180.2,115,40,120.62193,24.163706
128,5,1,1,183.9,104,41,120.61725,24.130768
129,5,1,1,190.6,111,31,120.56813,24.113571
130,5,1,1,196.0,111,45,120.52785,24.085623
131,5,1,1,201.1,108,49,120.52279,24.04064
132,5,1,1,208.9,111,38,120.50612,23.971794
133,5,1,1,215.6,113,28,120.49765,23.91277
134,5,1,1,224.9,115,32,120.48488,23.830568
135,5,1,1,232.2,111,41,120.469345,23.766329
136,5,1,1,239.4,113,34,120.474915,23.702602
137,5,1,1,242.5,111,33,120.46228,23.677376
138,5,1,1,247.2,111,39,120.443115,23.639557
139,5,1,1,251.4,111,27,120.43542,23.60199
140,5,1,1,260.3,111,29,120.40559,23.52674
141,5,1,1,267.4,108,33,120.3777,23.469402
142,5,1,1,271.4,111,27,120.361565,23.436367
143,5,1,1,282.7,108,37,120.32219,23.34747
144,5,1,1,286.6,108,25,120.298706,23.320993
145,5,1,1,293.0,111,23,120.26577,23.272589
146,5,1,1,301.9,111,32,120.23642,23.197287
147,5,1,1,308.3,111,34,120.23327,23.14075
148,5,1,1,312.6,108,33,120.24768,23.104816
149,5,1,1,318.5,109,34,120.25302,23.051311
150,5,1,1,322.7,108,44,120.25,23.014172
151,5,1,1,325.2,108,41,120.24818,22.991814
152,5,1,1,328.6,108,48,120.249825,22.960903
153,5,1,1,336.6,118,57,120.27215,22.892618
154,5,1,1,339.8,108,49,120.28499,22.867418
155,5,1,1,346.0,104,39,120.31273,22.818039
156,5,1,1,356.1,104,57,120.33376,22.728956
157,5,1,1,359.0,104,41,120.32818,22.703363
158,5,1,1,364.0,104,35,120.332085,22.658892
159,5,1,1,367.6,100,37,120.33622,22.62782
160,5,1,1,368.6,0,0,120.33665,22.61912
161,5,2,0,1.7,93,25,121.72591,25.109568
162,5,2,0,2.9,90,38,121.71786,25.102837
163,5,2,0,6.1,93,41,121.69364,25.088272
164,5,2,0,9.9,93,63,121.659424,25.076044
165,5,2,0,14.7,93,42,121.61352,25.065643
166,5,2,0,15.5,95,68,121.6059,25.064753
167,5,2,0,17.4,109,12,121.58804,25.065544
168,5,2,0,20.0,97,21,121.562515,25.070993
169,5,2,0,20.8,100,35,121.555016,25.072262
170,5,2,0,21.3,93,39,121.55036,25.073053
171,5,2,0,23.3,100,24,121.5307,25.073019
172,5,2,0,25.6,93,68,121.50911,25.078068
173,5,2,0,27.1,100,40,121.49402,25.075256
174,5,2,0,29.3,97,55,121.47296,25.074797
175,5,2,0,33.3,106,28,121.435135,25.068148
176,5,2,0,34.0,100,50,121.428055,25.068
177,5,2,0,37.6,97,70,121.39731,25.058666
178,5,2,0,41.3,104,33,121.36356,25.064968
179,5,2,0,44.7,100,27,121.33207,25.059242
180,5,2,0,46.7,97,49,121.317764,25.047075
181,5,2,0,49.2,100,50,121.29553,25.036482
182,5,2,0,51.1,104,40,121.28173,25.025953
183,5,2,0,53.2,100,40,121.2662,25.012943
184,5,2,0,55.7,100,63,121.24772,24.998583
185,5,2,0,57.9,100,28,121.23298,24.983667
186,5,2,0,58.4,100,54,121.22894,24.980558
187,5,2,0,60.8,100,17,121.21162,24.965878
188,5,2,0,63.3,100,43,121.195595,24.949282
189,5,2,0,66.4,100,46,121.17692,24.929544
190,5,2,0,68.1,104,47,121.16759,24.917967
191,5,2,0,69.9,100,45,121.15976,24.903297
192,5,2,0,75.0,104,44,121.11173,24.893436
193,5,2,0,88.0,97,65,121.01903,24.848719
194,5,2,0,92.8,102,66,121.01031,24.808453
195,5,2,0,95.6,104,44,121.00372,24.783943
196,5,2,0,97.9,104,43,120.99989,24.764414
197,5,2,0,104.5,100,49,120.9519,24.72713
198,5,2,0,112.3,100,63,120.90427,24.679317
199,5,2,0,129.2,104,49,120.83893,24.550442
200,5,2,0,138.9,108,41,120.781906,24.48592
201,5,2,0,146.5,111,47,120.775734,24.420513
202,5,2,0,157.2,108,48,120.72085,24.339148
203,5,2,0,162.1,104,54,120.69733,24.301186
204,5,2,0,166.4,104,41,120.691956,24.262648
205,5,2,0,169.9,108,48,120.68662,24.231537
206,5,2,0,177.4,104,41,120.63561,24.184591
207,5,2,0,180.2,111,27,120.62193,24.163706
208,5,2,0,183.9,111,35,120.61725,24.130768
209,5,2,0,190.6,108,42,120.56813,24.113571
210,5,2,0,196.0,111,46,120.52785,24.085623
211,5,2,0,201.1,111,42,120.52279,24.04064
212,5,2,0,208.9,111,43,120.50612,23.971794
213,5,2,0,215.6,111,41,120.49765,23.91277
