,星期,時間,方向,里程,車速,交通量
0,3,1,0,1.7,93,23
1,3,1,0,2.9,90,35
2,3,1,0,6.1,93,37
3,3,1,0,9.9,100,56
4,3,1,0,14.7,97,24
5,3,1,0,15.3,97,41
6,3,1,0,17.4,111,19
7,3,1,0,20.0,99,20
8,3,1,0,20.8,100,43
9,3,1,0,21.3,93,37
10,3,1,0,23.3,93,29
11,3,1,0,25.6,97,55
12,3,1,0,27.1,100,46
13,3,1,0,29.3,100,55
14,3,1,0,33.3,104,28
15,3,1,0,34.0,100,64
16,3,1,0,34.0,104,13
17,3,1,0,37.6,97,71
18,3,1,0,41.3,100,43
19,3,1,0,44.7,99,48
20,3,1,0,44.7,100,25
21,3,1,0,46.7,97,50
22,3,1,0,49.2,97,60
23,3,1,0,51.1,102,50
24,3,1,0,53.2,100,36
25,3,1,0,55.7,100,71
26,3,1,0,55.7,0,7
27,3,1,0,57.9,100,23
28,3,1,0,58.4,97,45
29,3,1,0,60.8,120,2
30,3,1,0,60.8,106,10
31,3,1,0,63.3,97,34
32,3,1,0,63.3,97,7
33,3,1,0,66.4,100,29
34,3,1,0,68.1,104,35
35,3,1,0,69.9,100,32
36,3,1,0,75.0,108,35
37,3,1,0,75.0,104,16
38,3,1,0,88.0,100,35
39,3,1,0,92.8,104,63
40,3,1,0,95.6,111,40
41,3,1,0,97.9,106,34
42,3,1,0,104.5,100,31
43,3,1,0,112.3,104,36
44,3,1,0,129.2,104,44
45,3,1,0,138.9,111,25
46,3,1,0,146.5,108,31
47,3,1,0,157.2,100,28
48,3,1,0,162.1,108,30
49,3,1,0,166.4,108,34
50,3,1,0,169.9,108,53
51,3,1,0,177.4,108,41
52,3,1,0,180.2,104,26
53,3,1,0,183.9,106,22
54,3,1,0,190.6,108,27
55,3,1,0,196.0,108,36
56,3,1,0,201.1,108,33
57,3,1,0,208.9,108,29
58,3,1,0,215.6,115,29
59,3,1,0,224.9,111,30
60,3,1,0,232.2,111,24
61,3,1,0,239.4,108,18
62,3,1,0,242.5,111,22
63,3,1,0,247.2,111,26
64,3,1,0,251.4,111,32
65,3,1,0,260.3,108,24
66,3,1,0,267.4,102,22
67,3,1,0,271.4,109,22
68,3,1,0,282.7,111,21
69,3,1,0,286.6,111,26
70,3,1,0,293.0,111,23
71,3,1,0,301.9,111,24
72,3,1,0,308.3,111,25
73,3,1,0,312.6,109,20
74,3,1,0,318.5,104,19
75,3,1,0,322.7,108,26
76,3,1,0,325.2,100,35
77,3,1,0,328.6,108,25
78,3,1,0,336.6,108,26
79,3,1,0,339.8,108,47
80,3,1,0,346.0,108,45
81,3,1,0,353.5,104,60
82,3,1,0,355.9,108,45
83,3,1,0,359.0,104,44
84,3,1,0,364.0,104,43
85,3,1,0,367.6,0,0
86,3,1,0,369.6,0,0
87,3,1,0,373.6,0,0
88,3,1,1,0.5,97,16
89,3,1,1,1.7,93,22
90,3,1,1,2.9,97,22
91,3,1,1,6.1,95,34
92,3,1,1,9.9,91,12
93,3,1,1,9.9,122,11
94,3,1,1,14.7,95,24
95,3,1,1,15.3,97,9
96,3,1,1,16.3,104,11
97,3,1,1,18.2,93,34
98,3,1,1,20.6,100,22
99,3,1,1,24.8,99,54
100,3,1,1,26.4,97,59
101,3,1,1,29.3,97,58
102,3,1,1,30.5,97,17
103,3,1,1,30.5,106,10
104,3,1,1,33.4,97,16
105,3,1,1,33.9,97,100
106,3,1,1,33.9,97,35
107,3,1,1,37.6,97,58
108,3,1,1,41.3,97,54
109,3,1,1,44.7,100,20
110,3,1,1,46.7,100,43
111,3,1,1,49.2,100,40
112,3,1,1,51.1,97,40
113,3,1,1,53.2,5,6
114,3,1,1,53.2,93,57
115,3,1,1,55.7,95,44
116,3,1,1,57.8,100,35
117,3,1,1,57.8,97,11
118,3,1,1,57.9,99,12
119,3,1,1,57.9,100,35
120,3,1,1,61.0,104,33
121,3,1,1,63.3,100,26
122,3,1,1,66.4,100,37
123,3,1,1,68.1,93,26
124,3,1,1,69.9,106,20
125,3,1,1,75.0,104,55
126,3,1,1,88.0,104,42
127,3,1,1,92.8,104,31
128,3,1,1,95.0,104,33
129,3,1,1,98.0,104,40
130,3,1,1,104.5,104,38
131,3,1,1,112.3,104,35
132,3,1,1,129.2,104,47
133,3,1,1,138.9,104,50
134,3,1,1,146.5,104,28
135,3,1,1,157.2,104,32
136,3,1,1,162.1,104,31
137,3,1,1,166.4,111,42
138,3,1,1,169.9,111,47
139,3,1,1,177.4,115,23
140,3,1,1,180.2,111,41
141,3,1,1,183.9,108,35
142,3,1,1,190.6,109,36
143,3,1,1,196.0,108,33
144,3,1,1,201.1,108,29
145,3,1,1,208.9,108,24
146,3,1,1,215.6,108,15
147,3,1,1,224.9,108,27
148,3,1,1,232.2,108,27
149,3,1,1,239.4,108,17
150,3,1,1,242.5,111,27
151,3,1,1,247.2,108,32
152,3,1,1,251.4,115,21
153,3,1,1,260.3,108,23
154,3,1,1,267.4,106,24
155,3,1,1,271.4,108,24
156,3,1,1,282.7,106,20
157,3,1,1,286.6,111,24
158,3,1,1,293.0,108,25
159,3,1,1,301.9,111,33
160,3,1,1,308.3,111,25
161,3,1,1,312.6,108,17
162,3,1,1,318.5,106,22
163,3,1,1,322.7,104,36
164,3,1,1,325.2,108,25
165,3,1,1,328.6,108,25
166,3,1,1,336.6,115,33
167,3,1,1,339.8,111,39
168,3,1,1,346.0,108,38
169,3,1,1,353.5,108,43
170,3,1,1,356.1,104,41
171,3,1,1,359.0,104,52
172,3,1,1,364.0,108,34
173,3,1,1,367.6,104,37
174,3,1,1,368.6,111,1
175,3,2,0,1.7,97,24
176,3,2,0,2.9,97,33
177,3,2,0,6.1,97,42
178,3,2,0,9.9,97,50
179,3,2,0,14.7,97,17
180,3,2,0,15.3,93,47
181,3,2,0,17.4,115,14
182,3,2,0,20.0,100,25
183,3,2,0,20.8,108,39
184,3,2,0,21.3,93,30
185,3,2,0,23.3,100,29
186,3,2,0,25.6,97,64
187,3,2,0,27.1,104,40
188,3,2,0,29.3,100,54
189,3,2,0,33.3,108,27
190,3,2,0,34.0,100,49
191,3,2,0,34.0,100,17
192,3,2,0,37.6,93,73
193,3,2,0,41.3,97,55
194,3,2,0,44.7,93,49
195,3,2,0,44.7,97,34
196,3,2,0,46.7,100,52
197,3,2,0,49.2,97,55
198,3,2,0,51.1,100,46
199,3,2,0,53.2,93,36
200,3,2,0,55.7,97,37
201,3,2,0,55.7,0,5
202,3,2,0,57.9,97,19
203,3,2,0,58.4,104,24
204,3,2,0,60.8,104,7
205,3,2,0,60.8,108,18
206,3,2,0,63.3,104,23
207,3,2,0,63.3,100,4
208,3,2,0,66.4,100,28
209,3,2,0,68.1,100,34
210,3,2,0,69.9,97,18
211,3,2,0,75.0,104,19
212,3,2,0,75.0,113,16
213,3,2,0,88.0,100,56
214,3,2,0,92.8,108,35
215,3,2,0,95.6,108,27
216,3,2,0,97.9,104,27
217,3,2,0,104.5,102,36
218,3,2,0,112.3,104,35
219,3,2,0,129.2,104,39
220,3,2,0,138.9,108,31
221,3,2,0,146.5,100,28
222,3,2,0,157.2,104,23
223,3,2,0,162.1,108,25
224,3,2,0,166.4,111,28
225,3,2,0,169.9,104,41
226,3,2,0,177.4,108,37
227,3,2,0,180.2,104,28
228,3,2,0,183.9,108,34
229,3,2,0,190.6,104,33
230,3,2,0,196.0,108,29
231,3,2,0,201.1,111,35
232,3,2,0,208.9,111,28
233,3,2,0,215.6,111,27
234,3,2,0,224.9,111,27
235,3,2,0,232.2,111,14
236,3,2,0,239.4,104,26
237,3,2,0,242.5,111,28
238,3,2,0,247.2,111,24
239,3,2,0,251.4,108,22
240,3,2,0,260.3,108,23
241,3,2,0,267.4,111,25
242,3,2,0,271.4,108,15
243,3,2,0,282.7,111,24
244,3,2,0,286.6,111,19
245,3,2,0,293.0,111,20
246,3,2,0,301.9,109,24
247,3,2,0,308.3,111,13
248,3,2,0,312.6,108,25
249,3,2,0,318.5,108,22
250,3,2,0,322.7,109,20
251,3,2,0,325.2,104,25
252,3,2,0,328.6,108,24
253,3,2,0,336.6,108,40
254,3,2,0,339.8,111,48
255,3,2,0,346.0,108,57
256,3,2,0,353.5,104,42
257,3,2,0,355.9,104,49
258,3,2,0,359.0,108,48
259,3,2,0,364.0,108,41
260,3,2,0,367.6,0,0
261,3,2,0,369.6,0,0
262,3,2,0,373.6,0,0
263,3,2,1,0.5,86,15
264,3,2,1,1.7,90,19
265,3,2,1,2.9,90,21
266,3,2,1,6.1,93,26
267,3,2,1,9.9,93,23
268,3,2,1,9.9,109,6
269,3,2,1,14.7,97,28
270,3,2,1,15.3,97,19
271,3,2,1,16.3,111,6
272,3,2,1,18.2,93,21
273,3,2,1,20.6,100,25
274,3,2,1,24.8,97,76
275,3,2,1,26.4,100,64
276,3,2,1,29.3,100,45
277,3,2,1,30.5,104,18
