,時間,里程,方向,5_車種,31_車種,32_車種,41_車種,42_車種,5_交通量,31_交通量,32_交通量,41_交通量,42_交通量,5_車速,31_車速,32_車速,41_車速,42_車速
0,1,1.1,0,5,31,32,41,42,1,23,6,2,1,4,5,5,5,5
1,1,2.3,0,5,31,32,41,42,1,32,9,2,1,4,5,5,5,5
2,1,4.5,0,5,31,32,41,42,1,35,9,1,2,4,5,5,5,5
3,1,8.0,0,5,31,32,41,42,2,43,9,0,6,3,5,5,0,4
4,1,12.3,0,5,31,32,41,42,2,29,4,0,5,4,5,5,0,5
5,1,13.65,0,5,31,32,41,42,0,15,5,0,0,0,5,5,0,0
6,1,15.1,0,5,31,32,41,42,1,64,11,1,4,4,5,4,4,5
7,1,18.4,0,5,31,32,41,42,1,39,8,0,2,4,5,5,0,4
8,1,18.7,0,5,31,32,41,42,0,14,7,0,0,0,5,5,0,0
9,1,20.4,0,5,31,32,41,42,0,27,10,0,0,0,5,5,0,0
10,1,22.3,0,5,31,32,41,42,2,34,10,0,7,5,5,5,0,4
11,1,23.95,0,5,31,32,41,42,0,32,10,0,0,0,5,5,0,0
12,1,24.45,0,5,31,32,41,42,3,62,18,2,9,5,5,5,5,5
13,1,27.45,0,5,31,32,41,42,4,37,17,4,6,5,5,5,5,5
14,1,30.2,0,5,31,32,41,42,0,20,5,0,0,0,5,5,0,0
15,1,30.55,0,5,31,32,41,42,0,10,3,0,0,0,5,5,0,0
16,1,31.65,0,5,31,32,41,42,3,40,6,4,6,4,5,5,5,5
17,1,35.8,0,5,31,32,41,42,9,88,17,2,14,4,5,5,5,5
18,1,39.0,0,5,31,32,41,42,0,24,4,0,0,0,5,5,0,0
19,1,39.35,0,5,31,32,41,42,0,55,9,2,2,0,5,5,4,4
20,1,39.45,0,5,31,32,41,42,7,53,12,2,16,5,5,5,5,5
21,1,44.0,0,5,31,32,41,42,11,39,14,1,13,4,5,5,5,4
22,1,47.95,0,5,31,32,41,42,10,45,8,2,16,5,5,5,5,5
23,1,50.15,0,5,31,32,41,42,10,41,8,2,13,5,5,5,5,5
24,1,51.3,0,5,31,32,41,42,0,44,7,0,0,0,5,5,0,0
25,1,52.15,0,5,31,32,41,42,16,32,9,1,8,5,5,5,5,5
26,1,54.45,0,5,31,32,41,42,18,67,14,0,13,5,5,5,0,5
27,1,55.7,0,5,31,32,41,42,2,5,0,0,1,0,0,0,0,2
28,1,57.05,0,5,31,32,41,42,12,49,13,1,9,5,5,5,5,5
29,1,59.35,0,5,31,32,41,42,0,11,4,0,0,0,5,5,0,0
30,1,59.6,0,5,31,32,41,42,0,8,3,0,0,0,5,5,0,0
31,1,60.6,0,5,31,32,41,42,0,6,1,0,0,0,5,2,0,0
32,1,60.85,0,5,31,32,41,42,12,32,10,1,14,5,5,5,5,5
33,1,64.85,0,5,31,32,41,42,14,33,12,0,14,5,5,5,0,5
34,1,67.25,0,5,31,32,41,42,22,42,15,0,12,5,5,5,0,5
35,1,67.9,0,5,31,32,41,42,0,23,6,1,0,0,5,5,5,0
36,1,69.0,0,5,31,32,41,42,16,35,8,0,13,5,5,5,0,5
37,1,72.45,0,5,31,32,41,42,19,36,10,0,21,5,5,5,0,5
38,1,81.5,0,5,31,32,41,42,11,56,10,0,11,5,5,5,0,5
39,1,90.4,0,5,31,32,41,42,25,60,10,1,13,5,5,5,5,5
40,1,94.2,0,5,31,32,41,42,17,43,9,1,10,5,5,5,5,5
41,1,96.75,0,5,31,32,41,42,17,35,9,2,7,4,5,5,5,5
42,1,101.2,0,5,31,32,41,42,9,30,10,3,7,5,5,5,5,5
43,1,108.4,0,5,31,32,41,42,13,37,9,1,16,5,5,5,5,5
44,1,120.75,0,5,31,32,41,42,14,34,14,0,14,5,5,5,0,5
45,1,134.05,0,5,31,32,41,42,15,28,6,1,8,5,5,5,5,5
46,1,142.7,0,5,31,32,41,42,10,42,6,1,3,5,5,5,5,5
47,1,151.85,0,5,31,32,41,42,13,37,11,1,8,4,5,5,5,5
48,1,159.65,0,5,31,32,41,42,11,30,15,0,10,5,5,5,0,5
49,1,164.25,0,5,31,32,41,42,11,28,9,0,10,5,5,5,0,5
50,1,168.15,0,5,31,32,41,42,13,38,3,2,12,5,5,5,5,5
51,1,173.65,0,5,31,32,41,42,9,30,4,4,14,5,5,5,5,5
52,1,178.8,0,5,31,32,41,42,6,29,5,1,10,5,5,5,5,5
53,1,182.05,0,5,31,32,41,42,3,32,7,2,9,4,5,5,5,5
54,1,187.25,0,5,31,32,41,42,7,31,11,0,8,5,5,5,0,5
55,1,193.3,0,5,31,32,41,42,16,25,7,1,10,5,5,5,5,5
56,1,198.55,0,5,31,32,41,42,10,31,10,1,11,5,5,5,5,5
57,1,205.0,0,5,31,32,41,42,10,45,14,1,10,5,5,5,5,5
58,1,212.25,0,5,31,32,41,42,9,64,19,0,10,5,5,5,0,5
59,1,220.25,0,5,31,32,41,42,14,44,8,0,13,5,5,5,0,5
60,1,228.55,0,5,31,32,41,42,20,40,10,0,16,5,5,5,0,5
61,1,235.8,0,5,31,32,41,42,19,47,13,2,18,5,5,5,5,5
62,1,240.95,0,5,31,32,41,42,16,39,11,0,14,5,5,5,0,5
63,1,244.85,0,5,31,32,41,42,15,26,6,0,14,5,5,5,0,5
64,1,249.3,0,5,31,32,41,42,15,31,2,0,19,5,5,5,0,5
65,1,255.85,0,5,31,32,41,42,16,28,3,0,9,4,5,5,0,5
66,1,263.85,0,5,31,32,41,42,12,25,5,0,9,5,5,5,0,5
67,1,269.4,0,5,31,32,41,42,14,21,6,0,8,5,5,5,0,5
68,1,277.05,0,5,31,32,41,42,12,20,6,0,7,4,5,5,0,5
69,1,284.65,0,5,31,32,41,42,15,24,5,0,6,5,5,5,0,5
70,1,289.8,0,5,31,32,41,42,15,20,9,0,9,5,5,5,0,5
71,1,297.45,0,5,31,32,41,42,21,26,5,1,10,5,5,5,5,5
72,1,305.1,0,5,31,32,41,42,21,19,9,0,11,5,5,5,0,5
73,1,310.45,0,5,31,32,41,42,19,26,7,1,14,5,5,5,5,5
74,1,315.55,0,5,31,32,41,42,14,25,9,1,9,5,5,5,5,5
75,1,320.6,0,5,31,32,41,42,12,36,9,0,5,5,5,5,0,5
76,1,323.95,0,5,31,32,41,42,10,38,9,0,6,5,5,5,0,5
77,1,326.9,0,5,31,32,41,42,9,21,4,0,3,4,5,5,0,4
78,1,332.6,0,5,31,32,41,42,12,29,13,0,7,5,5,5,0,5
79,1,338.2,0,5,31,32,41,42,7,40,8,1,13,5,5,5,5,5
80,1,342.9,0,5,31,32,41,42,8,41,8,1,10,5,5,5,5,5
81,1,349.75,0,5,31,32,41,42,28,40,7,1,3,5,5,5,4,4
82,1,354.7,0,5,31,32,41,42,9,63,13,0,3,5,5,5,0,5
83,1,357.45,0,5,31,32,41,42,10,58,7,0,4,5,5,5,0,5
84,1,361.5,0,5,31,32,41,42,7,54,10,1,4,5,5,5,5,5
85,1,365.8,0,5,31,32,41,42,5,38,11,1,4,4,5,5,5,4
86,1,368.6,0,5,31,32,41,42,7,52,9,1,6,4,5,5,5,4
87,1,371.6,0,5,31,32,41,42,0,2,0,0,0,0,5,0,0,0
88,1,1.1,1,5,31,32,41,42,0,22,7,0,0,0,5,5,0,0
89,1,2.3,1,5,31,32,41,42,0,21,5,0,0,0,5,5,0,0
90,1,4.5,1,5,31,32,41,42,0,20,7,0,2,0,5,5,0,5
91,1,8.0,1,5,31,32,41,42,1,28,7,0,3,4,5,5,0,4
92,1,12.3,1,5,31,32,41,42,2,12,2,0,2,5,5,5,0,5
93,1,13.1,1,5,31,32,41,42,0,9,1,1,0,0,5,5,5,0
94,1,15.1,1,5,31,32,41,42,2,26,3,0,2,5,5,5,0,5
95,1,16.85,1,5,31,32,41,42,3,26,6,0,1,5,5,5,0,5
96,1,18.45,1,5,31,32,41,42,0,14,1,1,0,0,5,5,4,0
97,1,21.5,1,5,31,32,41,42,1,24,5,0,3,4,5,5,0,5
98,1,25.55,1,5,31,32,41,42,0,28,9,1,1,0,5,5,5,5
99,1,25.6,1,5,31,32,41,42,1,53,8,0,3,5,5,5,0,5
100,1,27.85,1,5,31,32,41,42,1,59,8,3,7,5,5,5,5,5
101,1,31.6,1,5,31,32,41,42,3,50,7,4,5,5,5,5,5,5
102,1,31.95,1,5,31,32,41,42,0,16,3,0,0,0,5,5,0,0
103,1,32.2,1,5,31,32,41,42,0,12,3,0,0,0,5,5,0,0
104,1,35.75,1,5,31,32,41,42,7,79,18,1,12,4,5,5,5,4
105,1,39.05,1,5,31,32,41,42,0,11,3,0,0,0,5,5,0,0
106,1,39.3,1,5,31,32,41,42,0,23,4,0,0,0,5,5,0,0
107,1,39.45,1,5,31,32,41,42,10,49,7,1,9,4,5,5,4,5
