,時間,里程,方向,5_車種,31_車種,32_車種,41_車種,42_車種,5_交通量,31_交通量,32_交通量,41_交通量,42_交通量,5_車速,31_車速,32_車速,41_車速,42_車速
0,1,1.1,0,5,31,32,41,42,0,23,5,3,0,0,5,5,4,0
1,1,2.3,0,5,31,32,41,42,0,30,10,3,0,0,5,5,5,0
2,1,4.5,0,5,31,32,41,42,0,41,10,3,1,0,5,5,5,5
3,1,8.0,0,5,31,32,41,42,1,50,15,1,1,5,5,5,5,4
4,1,12.3,0,5,31,32,41,42,2,27,6,0,5,5,5,5,0,5
5,1,13.65,0,5,31,32,41,42,0,18,4,0,0,0,5,5,0,0
6,1,15.1,0,5,31,32,41,42,4,54,9,0,9,5,5,5,0,5
7,1,18.4,0,5,31,32,41,42,5,48,5,0,7,4,5,4,0,5
8,1,18.7,0,5,31,32,41,42,0,16,4,2,0,0,5,5,4,0
9,1,20.4,0,5,31,32,41,42,0,30,7,2,0,0,5,5,4,0
10,1,22.3,0,5,31,32,41,42,3,28,11,0,6,5,5,5,0,5
11,1,23.95,0,5,31,32,41,42,0,31,7,2,0,0,5,5,5,0
12,1,24.45,0,5,31,32,41,42,3,64,13,2,7,5,5,5,5,5
13,1,27.45,0,5,31,32,41,42,4,58,8,2,8,5,5,5,5,5
14,1,30.2,0,5,31,32,41,42,0,24,4,1,0,0,5,5,5,0
15,1,30.55,0,5,31,32,41,42,0,11,1,0,0,0,5,1,0,0
16,1,31.65,0,5,31,32,41,42,2,56,5,1,5,4,5,5,5,5
17,1,35.8,0,5,31,32,41,42,11,60,12,2,13,5,5,5,5,5
18,1,39.0,0,5,31,32,41,42,0,32,2,1,0,0,5,5,5,0
19,1,39.35,0,5,31,32,41,42,0,36,6,1,0,0,5,5,5,0
20,1,39.45,0,5,31,32,41,42,7,40,14,2,13,5,5,5,5,5
21,1,44.0,0,5,31,32,41,42,5,39,10,1,13,5,5,5,5,4
22,1,47.95,0,5,31,32,41,42,9,40,10,0,12,5,5,5,0,5
23,1,50.15,0,5,31,32,41,42,11,34,10,0,15,5,5,5,0,5
24,1,51.3,0,5,31,32,41,42,0,17,1,1,0,0,5,5,5,0
25,1,52.15,0,5,31,32,41,42,10,28,14,1,10,5,5,5,5,5
26,1,54.45,0,5,31,32,41,42,15,49,21,1,10,5,5,5,5,5
27,1,55.7,0,5,31,32,41,42,0,3,1,0,2,0,0,0,0,0
28,1,57.05,0,5,31,32,41,42,11,29,12,2,7,5,5,5,5,5
29,1,59.35,0,5,31,32,41,42,0,7,3,1,0,0,5,5,5,0
30,1,59.6,0,5,31,32,41,42,0,5,1,0,0,0,5,5,0,0
31,1,60.6,0,5,31,32,41,42,0,7,2,0,0,0,5,5,0,0
32,1,60.85,0,5,31,32,41,42,13,34,6,1,9,5,5,5,4,5
33,1,64.85,0,5,31,32,41,42,9,34,4,2,15,5,5,5,5,5
34,1,67.25,0,5,31,32,41,42,7,42,4,1,11,5,5,5,5,5
35,1,67.9,0,5,31,32,41,42,0,11,4,1,0,0,5,5,5,0
36,1,69.0,0,5,31,32,41,42,10,29,5,1,10,5,5,5,5,5
37,1,72.45,0,5,31,32,41,42,13,27,4,0,8,5,5,5,0,5
38,1,81.5,0,5,31,32,41,42,8,23,13,1,12,5,5,5,5,4
39,1,90.4,0,5,31,32,41,42,20,35,12,3,16,5,5,5,5,5
40,1,94.2,0,5,31,32,41,42,13,30,2,2,12,5,5,5,5,5
41,1,96.75,0,5,31,32,41,42,12,30,1,0,9,5,5,5,0,5
42,1,101.2,0,5,31,32,41,42,11,33,4,0,6,5,5,5,0,5
43,1,108.4,0,5,31,32,41,42,16,28,9,0,9,5,5,5,0,5
44,1,120.75,0,5,31,32,41,42,15,22,9,0,9,5,5,5,0,5
45,1,134.05,0,5,31,32,41,42,8,31,10,0,4,5,5,5,0,5
46,1,142.7,0,5,31,32,41,42,8,34,7,0,5,5,5,5,0,5
47,1,151.85,0,5,31,32,41,42,10,19,4,1,10,4,5,5,5,4
48,1,159.65,0,5,31,32,41,42,8,27,6,1,5,5,5,5,5,5
49,1,164.25,0,5,31,32,41,42,7,20,6,1,4,5,5,5,5,5
50,1,168.15,0,5,31,32,41,42,11,37,8,1,7,5,5,5,5,5
51,1,173.65,0,5,31,32,41,42,9,43,10,0,9,5,5,5,0,5
52,1,178.8,0,5,31,32,41,42,11,23,11,0,8,5,5,5,0,5
53,1,182.05,0,5,31,32,41,42,7,24,7,1,3,5,5,5,5,5
54,1,187.25,0,5,31,32,41,42,7,25,9,0,3,4,5,5,0,5
55,1,193.3,0,5,31,32,41,42,8,28,7,1,11,5,5,5,5,5
56,1,198.55,0,5,31,32,41,42,11,24,8,1,13,5,5,5,5,5
57,1,205.0,0,5,31,32,41,42,12,22,8,0,11,5,5,5,0,5
58,1,212.25,0,5,31,32,41,42,16,23,10,2,17,5,5,5,5,5
59,1,220.25,0,5,31,32,41,42,19,23,12,3,11,5,5,5,5,5
60,1,228.55,0,5,31,32,41,42,11,29,6,0,12,5,5,5,0,5
61,1,235.8,0,5,31,32,41,42,16,27,11,2,7,5,5,5,5,5
62,1,240.95,0,5,31,32,41,42,11,35,11,1,7,5,5,5,5,5
63,1,244.85,0,5,31,32,41,42,11,35,11,2,9,4,5,5,5,4
64,1,249.3,0,5,31,32,41,42,12,32,10,1,10,5,5,5,5,5
65,1,255.85,0,5,31,32,41,42,18,33,9,0,14,5,5,5,0,5
66,1,263.85,0,5,31,32,41,42,13,27,13,3,5,4,5,5,5,5
67,1,269.4,0,5,31,32,41,42,14,28,17,0,15,5,5,5,0,5
68,1,277.05,0,5,31,32,41,42,13,34,11,0,8,5,5,5,0,5
69,1,284.65,0,5,31,32,41,42,20,33,8,0,10,5,5,5,0,5
70,1,289.8,0,5,31,32,41,42,15,26,13,0,13,5,5,5,0,5
71,1,297.45,0,5,31,32,41,42,16,22,4,2,11,5,5,5,5,5
72,1,305.1,0,5,31,32,41,42,25,20,7,1,6,3,3,3,2,3
73,1,310.45,0,5,31,32,41,42,20,32,7,2,2,4,5,5,5,5
74,1,315.55,0,5,31,32,41,42,19,34,5,2,3,3,4,4,3,3
75,1,320.6,0,5,31,32,41,42,16,27,6,1,4,2,4,3,3,3
76,1,323.95,0,5,31,32,41,42,12,28,6,0,1,5,5,5,0,5
77,1,326.9,0,5,31,32,41,42,11,18,6,1,4,5,5,5,5,4
78,1,332.6,0,5,31,32,41,42,13,30,12,1,6,5,5,5,5,5
79,1,338.2,0,5,31,32,41,42,12,41,9,0,6,5,5,5,0,5
80,1,342.9,0,5,31,32,41,42,6,32,11,0,8,5,5,5,0,5
81,1,349.75,0,5,31,32,41,42,11,35,15,0,3,4,5,5,0,5
82,1,354.7,0,5,31,32,41,42,8,41,11,0,4,5,5,5,0,5
83,1,357.45,0,5,31,32,41,42,8,40,6,0,4,5,5,5,0,5
84,1,361.5,0,5,31,32,41,42,7,42,14,4,4,5,5,5,5,5
85,1,365.8,0,5,31,32,41,42,8,34,6,1,0,5,5,5,5,0
86,1,368.6,0,5,31,32,41,42,8,35,8,0,2,5,5,5,0,5
87,1,371.6,0,5,31,32,41,42,0,8,2,0,0,0,5,4,0,0
88,1,1.1,1,5,31,32,41,42,0,25,5,0,0,0,5,5,0,0
89,1,2.3,1,5,31,32,41,42,1,34,5,0,0,4,5,4,0,0
90,1,4.5,1,5,31,32,41,42,1,26,9,0,3,5,5,5,0,5
91,1,8.0,1,5,31,32,41,42,2,26,10,0,3,4,5,5,0,4
92,1,12.3,1,5,31,32,41,42,1,19,2,0,4,5,5,5,0,5
93,1,13.1,1,5,31,32,41,42,0,8,2,1,0,0,5,5,5,0
94,1,15.1,1,5,31,32,41,42,2,34,5,0,3,5,5,5,0,5
95,1,16.85,1,5,31,32,41,42,3,26,5,0,4,4,5,5,0,5
96,1,18.45,1,5,31,32,41,42,0,12,5,1,0,0,5,5,5,0
97,1,21.5,1,5,31,32,41,42,4,26,6,0,1,5,5,5,0,4
98,1,25.55,1,5,31,32,41,42,0,25,5,0,0,0,5,5,0,0
99,1,25.6,1,5,31,32,41,42,4,73,8,1,1,5,5,5,5,1
100,1,27.85,1,5,31,32,41,42,4,76,5,2,5,5,5,5,5,5
101,1,31.6,1,5,31,32,41,42,7,75,9,3,7,5,5,5,5,5
102,1,31.95,1,5,31,32,41,42,0,17,2,0,0,0,5,5,0,0
103,1,32.2,1,5,31,32,41,42,0,23,0,0,0,0,5,0,0,0
104,1,35.75,1,5,31,32,41,42,16,99,14,2,4,5,5,5,5,5
105,1,39.05,1,5,31,32,41,42,0,10,3,0,0,0,5,5,0,0
106,1,39.3,1,5,31,32,41,42,0,32,5,2,0,0,5,5,5,0
107,1,39.45,1,5,31,32,41,42,13,52,6,1,5,4,5,5,4,4
108,1,44.0,1,5,31,32,41,42,6,51,11,3,7,5,5,5,5,5
109,1,47.95,1,5,31,32,41,42,10,40,10,1,15,5,5,5,5,5
110,1,50.15,1,5,31,32,41,42,13,40,11,1,20,5,5,5,5,5
111,1,51.3,1,5,31,32,41,42,0,28,2,0,0,0,5,5,0,0
112,1,52.15,1,5,31,32,41,42,11,38,10,1,11,5,5,5,5,5
113,1,53.2,1,5,31,32,41,42,1,3,1,0,0,1,1,1,0,0
114,1,54.45,1,5,31,32,41,42,14,65,14,0,17,5,5,5,0,5
115,1,56.75,1,5,31,32,41,42,15,44,5,1,15,5,5,5,4,5
116,1,59.4,1,5,31,32,41,42,0,8,1,0,0,0,5,5,0,0
117,1,59.45,1,5,31,32,41,42,0,22,4,2,0,0,5,5,5,0
118,1,60.55,1,5,31,32,41,42,20,32,7,2,16,5,5,5,5,5
119,1,60.6,1,5,31,32,41,42,0,11,1,0,0,0,5,5,0,0
120,1,64.85,1,5,31,32,41,42,13,31,8,1,12,5,5,5,5,5
121,1,67.25,1,5,31,32,41,42,18,39,12,0,10,5,5,5,0,5
122,1,68.0,1,5,31,32,41,42,0,29,8,0,0,0,5,5,0,0
123,1,69.0,1,5,31,32,41,42,19,32,6,0,10,5,5,5,0,5
124,1,72.45,1,5,31,32,41,42,14,36,4,1,6,5,5,5,5,5
125,1,81.5,1,5,31,32,41,42,15,47,14,3,10,5,5,5,5,5
126,1,90.4,1,5,31,32,41,42,12,44,14,4,10,5,5,5,5,5
127,1,93.9,1,5,31,32,41,42,12,37,7,3,10,5,5,5,5,5
