時間,里程,31_交通量
19.0,1.1,19.0
19.0,1.470870870870871,16.921497562387003
19.0,1.8417417417417419,15.6474251746911
19.0,2.2126126126126127,15.0541148932199
19.0,2.5834834834834837,15.017898774281008
19.0,2.9543543543543547,15.415108874182037
19.0,3.3252252252252252,16.122077249230593
19.0,3.6960960960960962,17.015135955734287
19.0,4.066966966966968,17.97061705000073
19.0,4.437837837837838,18.864852588337524
19.0,4.808708708708709,19.585859656302546
19.0,5.179579579579579,20.099568620471082
19.0,5.55045045045045,20.403779462813926
19.0,5.921321321321322,20.49638756818428
19.0,6.292192192192193,20.375288321435338
19.0,6.663063063063063,20.03837710742032
19.0,7.033933933933934,19.48354931099243
19.0,7.4048048048048045,18.70870031700487
19.0,7.775675675675677,17.711725510310835
19.0,8.146546546546547,16.491277751291666
19.0,8.517417417417418,15.076319950422143
19.0,8.888288288288289,13.535695621462343
19.0,9.259159159159159,11.940965161232898
19.0,9.63003003003003,10.363688966554436
19.0,10.0009009009009,8.875427434247587
19.0,10.371771771771773,7.54774096113297
19.0,10.742642642642643,6.4521899440312245
19.0,11.113513513513514,5.6603347797629775
19.0,11.484384384384384,5.243735865148851
19.0,11.855255255255255,5.273953597009481
19.0,12.226126126126127,5.822548372165491
19.0,12.596996996996998,6.829284913107121
19.0,12.967867867867868,7.262404003132154
19.0,13.338738738738739,5.928833143418877
19.0,13.70960960960961,5.083556764454902
19.0,14.080480480480482,7.548364365206931
19.0,14.451351351351352,11.69724275866446
19.0,14.822222222222223,15.21544738856057
19.0,15.193093093093093,15.907951903875585
19.0,15.563963963963964,14.083587820715755
19.0,15.934834834834836,12.423729476333067
19.0,16.30570570570571,13.70318250953894
19.0,16.67657657657658,20.69675255914476
19.0,17.04744744744745,35.02744964585228
19.0,17.41831831831832,49.860906550093134
19.0,17.78918918918919,54.59359325074786
19.0,18.16006006006006,38.60465571083415
19.0,18.530930930930932,5.606927115110747
19.0,18.901801801801803,12.985261310715337
19.0,19.272672672672677,19.114552578639337
19.0,19.643543543543547,21.891813126151817
19.0,20.014414414414418,21.996125254580097
19.0,20.38528528528529,20.10657126525144
19.0,20.75615615615616,17.09755759541426
19.0,21.12702702702703,14.72364007167529
19.0,21.4978978978979,14.987173982229159
19.0,21.86876876876877,18.707303230350977
19.0,22.23963963963964,21.889102950473102
19.0,22.61051051051051,20.281490211936323
19.0,22.981381381381386,15.989992758548269
19.0,23.352252252252256,13.684538811692459
19.0,23.723123123123127,18.04216710673641
19.0,24.093993993993998,33.19494085575695
19.0,24.464864864864868,40.54312348763725
19.0,24.83573573573574,11.3042209956967
19.0,25.20660660660661,0.0
19.0,25.57747747747748,22.98199020860298
19.0,25.94834834834835,83.41606621046829
19.0,26.31921921921922,103.40921191690424
19.0,26.69009009009009,95.77007226608754
19.0,27.060960960960966,73.35392372840698
19.0,27.431831831831836,49.016042774252185
19.0,27.802702702702707,33.31932598929104
19.0,28.173573573573577,26.257953318770113
19.0,28.544444444444448,25.072398288206873
19.0,28.91531531531532,27.120016253970597
19.0,29.28618618618619,29.75833313614561
19.0,29.65705705705706,30.34487485481617
19.0,30.02792792792793,26.23716733006664
19.0,30.3987987987988,15.083534708034213
19.0,30.769669669669675,0.5482118506321969
19.0,31.140540540540545,0.0
19.0,31.511411411411416,21.70355343108464
19.0,31.882282282282286,21.361603901401406
19.0,32.25315315315316,10.934272709507484
19.0,32.624024024024024,24.3917921125211
19.0,32.9948948948949,37.30192682934824
19.0,33.36576576576577,48.99320404373513
19.0,33.73663663663664,58.794150939428114
19.0,34.10750750750751,66.03329470017407
19.0,34.47837837837838,70.03916250971923
19.0,34.849249249249254,70.14028155181025
19.0,35.22012012012012,65.66517901019364
19.0,35.590990990990996,55.94238206861577
19.0,35.96186186186186,44.48418199339819
19.0,36.33273273273274,52.19311857371828
19.0,36.703603603603604,74.8519505476226
19.0,37.07447447447448,103.84181490966839
19.0,37.44534534534535,130.5438486544116
19.0,37.81621621621622,146.33918877640843
19.0,38.18708708708709,142.60897227021565
19.0,38.55795795795796,110.73433613039026
19.0,38.928828828828834,42.09641735148739
19.0,39.2996996996997,27.978940888058936
19.0,39.670570570570575,39.251794748379574
19.0,40.04144144144144,47.190619614708
19.0,40.41231231231232,52.23559520364429
19.0,40.78318318318319,54.77181096714814
19.0,41.15405405405406,55.18435635717947
19.0,41.52492492492493,53.858320825698115
19.0,41.8957957957958,51.17879382466401
19.0,42.26666666666667,47.53086480603693
19.0,42.63753753753754,43.29962322177688
19.0,43.008408408408414,38.8701585238435
19.0,43.37927927927928,34.62756016419689
19.0,43.750150150150155,30.956917594796735
19.0,44.12102102102102,28.240080348443076
19.0,44.491891891891896,26.654306812868004
19.0,44.86276276276277,26.05373317326396
19.0,45.23363363363364,26.26398615329925
19.0,45.60450450450451,27.110692476642207
19.0,45.97537537537538,28.419478866961118
19.0,46.34624624624625,30.015972047924343
19.0,46.71711711711712,31.72579874320015
19.0,47.087987987987994,33.37458567645692
19.0,47.45885885885886,34.78795957136292
19.0,47.829729729729735,35.79154715158651
19.0,48.2006006006006,36.21559273881714
19.0,48.571471471471476,35.94229632267342
19.0,48.94234234234235,34.88657685153104
19.0,49.31321321321322,32.963863713720514
19.0,49.68408408408409,30.08958629757226
19.0,50.05495495495496,26.179173991416874
19.0,50.42582582582583,21.37752417610876
19.0,50.7966966966967,17.86912487189491
19.0,51.16756756756757,18.906870683280033
19.0,51.53843843843844,27.067420879843514
19.0,51.909309309309315,36.22875475776564
19.0,52.28018018018018,34.487031070218436
